[0401/224851.256:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0401/224851.257:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0401/224851.257:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'bluetooth'.", source:  (0)
[0401/224851.257:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'ch-save-data'.", source:  (0)
[0401/224851.257:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'ch-viewport-height'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'gamepad'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'interest-cohort'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'local-fonts'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0401/224851.258:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0401/224851.275:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.275:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.275:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.276:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.276:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.277:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.279:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.280:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.280:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.281:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.281:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.282:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.283:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.283:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.284:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
[0401/224851.284:WARNING:backend_impl.cc(1826)] Destroying invalid entry.
